,PID,Speed,PupilDilation,rel_PupilDilation
0,0,0,4.522814478854017,0.35231082296487837
1,0,200,4.395034031071969,0.3886573791111923
2,0,250,4.228001429020381,0.6627738679604802
3,0,300,3.9158155761365037,0.15088033738216852
4,0,350,3.71084666602191,0.15510797931671766
5,0,400,3.8454892524458852,0.3973143971671212
6,0,450,3.735916667970655,0.172020270758118
7,0,500,3.774309303035978,-0.0882460101312783
8,0,550,4.074966270949714,0.3148358637986201
9,0,600,4.185991177540102,0.43856992638802916
10,1,0,3.668661491376279,0.03842281679195604
11,1,200,3.842460193654365,0.41066575370190267
12,1,250,3.7648000491218148,0.2859503076013549
13,1,300,3.795267836981371,0.33119894459927673
14,1,350,3.7854221174870557,0.36980252615215925
15,1,400,3.8467809207442296,0.2470186567907261
16,1,450,3.926646202811888,0.33464321575306666
17,1,500,3.954131229780796,0.37916586549508413
18,1,550,3.804010635488606,0.36662293918374583
19,1,600,3.909107287411959,0.17227613600351985
20,2,0,4.079971012075469,0.19292061207547664
21,2,200,3.896383046001723,0.2628383040278828
22,2,250,3.7799793221482805,-0.0023427270320452538
23,2,300,3.894739315652458,0.3838122386396204
24,2,350,3.933636405893663,0.4036643816442336
25,2,400,4.01723129994261,0.4796535583047637
26,2,450,3.8806302433349495,0.41816899506705474
27,2,500,3.8323229062092286,0.2350982573720038
28,2,550,4.037517437801142,0.39973184495223285
29,2,600,3.9072844985017396,0.14342812364589314
30,3,0,3.34449295047532,0.2913082036692737
31,3,200,3.128170302420493,0.0001669082008595717
32,3,250,3.075448214015335,-0.2084388240909022
33,3,300,3.2123096969565657,-0.08159724121226702
34,3,350,3.1488827595736364,-0.04086682196114011
35,3,400,3.238570703579745,0.0674959902849488
36,3,450,3.3260293690656004,0.16484569545448416
37,3,500,3.328641331451156,0.2525088866112962
38,3,550,3.355590923829352,0.223125554616387
39,3,600,3.3277422638951624,0.1914709136061535
40,4,0,3.2617557577450507,0.3710705764517457
41,4,200,2.9480745414623692,0.35842804265000666
42,4,250,3.0528299225092153,0.4332122874052984
43,4,300,3.112007609443925,0.35219446709515057
44,4,350,3.232345931346818,0.4587144284633021
45,4,400,3.173670235941691,0.3217750513972824
46,4,450,3.0392576665570576,0.4763179203056072
47,4,500,3.0277951520125144,0.32607662368880336
48,4,550,2.9835669798336775,0.4166979197874893
49,4,600,2.9519941107081924,0.3419500115155794
50,5,0,2.944719437628867,0.03625002689374653
51,5,200,2.740027372309702,-0.18486460072665045
52,5,250,2.695427376003598,-0.182118376024203
53,5,300,2.618969573897631,-0.1911754685552019
54,5,350,2.8022078780549866,-0.19622440980628095
55,5,400,2.671909095562112,-0.16769647851194447
56,5,450,2.7185108344712794,-0.37624543142468303
57,5,500,2.759771476806082,-0.23471446409774047
58,5,550,2.726209664823475,-0.1818623247718938
59,5,600,2.8598373939914126,-0.09820342776785004
60,6,0,2.911667560957358,0.03521962554791097
